id,presenterDisplayName,duration
524836,George Blair-West,931
524836,George Blair-West,931
524836,George Blair-West,931
524836,George Blair-West,931
524836,George Blair-West,931
524836,George Blair-West,931
524836,George Blair-West,931
524836,George Blair-West,931
524836,George Blair-West,931
524836,George Blair-West,931
524836,George Blair-West,931
524836,George Blair-West,931
524836,George Blair-West,931
524836,George Blair-West,931
524836,George Blair-West,931
524836,George Blair-West,931
527908, TED-Ed,349
527908, TED-Ed,349
527908, TED-Ed,349
527908, TED-Ed,349
527908, TED-Ed,349
527908, TED-Ed,349
527908, TED-Ed,349
529046,Scott Galloway,1117
529046,Scott Galloway,1117
529046,Scott Galloway,1117
529046,Scott Galloway,1117
529046,Scott Galloway,1117
529046,Scott Galloway,1117
529046,Scott Galloway,1117
529046,Scott Galloway,1117
529046,Scott Galloway,1117
529046,Scott Galloway,1117
529046,Scott Galloway,1117
529046,Scott Galloway,1117
529046,Scott Galloway,1117
529046,Scott Galloway,1117
528484,Helen Toner,676
528484,Helen Toner,676
528484,Helen Toner,676
528484,Helen Toner,676
528484,Helen Toner,676
528484,Helen Toner,676
528484,Helen Toner,676
528484,Helen Toner,676
528484,Helen Toner,676
528484,Helen Toner,676
528484,Helen Toner,676
525800,Saket Soni,779
525800,Saket Soni,779
525800,Saket Soni,779
525800,Saket Soni,779
525800,Saket Soni,779
525800,Saket Soni,779
525800,Saket Soni,779
525800,Saket Soni,779
525800,Saket Soni,779
525800,Saket Soni,779
526880,George Zaidan,254
526880,George Zaidan,254
526880,George Zaidan,254
526880,George Zaidan,254
526880,George Zaidan,254
526880,George Zaidan,254
526880,George Zaidan,254
526880,George Zaidan,254
526880,George Zaidan,254
526880,George Zaidan,254
526880,George Zaidan,254
526880,George Zaidan,254
526880,George Zaidan,254
527254,Bonnie Hancock,600
527254,Bonnie Hancock,600
527254,Bonnie Hancock,600
527254,Bonnie Hancock,600
527254,Bonnie Hancock,600
527254,Bonnie Hancock,600
527254,Bonnie Hancock,600
527254,Bonnie Hancock,600
527254,Bonnie Hancock,600
527254,Bonnie Hancock,600
527254,Bonnie Hancock,600
527254,Bonnie Hancock,600
527254,Bonnie Hancock,600
527254,Bonnie Hancock,600
527863,Demis Hassabis,1533
527863,Demis Hassabis,1533
527863,Demis Hassabis,1533
527863,Demis Hassabis,1533
527863,Demis Hassabis,1533
527863,Demis Hassabis,1533
527863,Demis Hassabis,1533
527863,Demis Hassabis,1533
527863,Demis Hassabis,1533
527863,Demis Hassabis,1533
527863,Demis Hassabis,1533
527863,Demis Hassabis,1533
527863,Demis Hassabis,1533
527863,Demis Hassabis,1533
528495,"Ryan Panchadsaram, Anjali Grover and David Biello",722
528495,"Ryan Panchadsaram, Anjali Grover and David Biello",722
528495,"Ryan Panchadsaram, Anjali Grover and David Biello",722
528495,"Ryan Panchadsaram, Anjali Grover and David Biello",722
